SKILL
Python
Scala
Java
SQL (Postgres)
R
JavaScript
GraphQL
HTML
CSS
React
Cypress
Node.js
Flask
Material-UI
Git
Docker
VS Code
Visual Studio
PyCharm
IntelliJ
AWS
Google Cloud Platform
Figma
Redux
pandas
NumPy
